Orthogroup,protA,protB,dist_codon
OG0003874,KAF1436501.1,KAF1405066.1,0.15758482583915664
OG0004064,KAF1436422.1,KAF1455601.1,0.1376041832307563
OG0005047,KAF1442761.1,KAF1449102.1,0.13615675965572865
OG0007179,KAF1445887.1,KAF1450284.1,0.1325219551960354
OG0004677,KAF1443841.1,KAF1431071.1,0.1318242936188533
OG0008251,KAF1454936.1,KAF1414164.1,0.1186898029417499
OG0007517,KAF1440816.1,KAF1418245.1,0.11825719115955256
OG0008538,KAF1439652.1,KAF1427023.1,0.11216282520276222
OG0007139,KAF1442173.1,KAF1414987.1,0.11194842609244035
OG0010549,KAF1434301.1,KAF1430151.1,0.1078341190657476
OG0010241,KAF1435960.1,KAF1445925.1,0.10763597427709698
OG0006538,KAF1434348.1,KAF1440142.1,0.10664840668379665
OG0006670,KAF1455489.1,KAF1413444.1,0.10543530324311161
OG0009743,KAF1441370.1,KAF1444724.1,0.10336049989668461
OG0009014,KAF1456281.1,KAF1448774.1,0.10187561285061915
OG0006518,KAF1434795.1,KAF1419360.1,0.10062511583238724
OG0009660,KAF1439175.1,KAF1419942.1,0.1006143728461325
OG0003912,KAF1465879.1,KAF1406596.1,0.09900466406274581
OG0005646,KAF1437479.1,KAF1454394.1,0.09892511270364421
OG0006769,KAF1457017.1,KAF1428198.1,0.09866838751942382
OG0010100,KAF1462338.1,KAF1426923.1,0.09829136184122532
OG0004143,KAF1436233.1,KAF1455935.1,0.09707307003819401
OG0004533,KAF1458613.1,KAF1421306.1,0.09611961670883548
OG0010128,KAF1467246.1,KAF1432680.1,0.09526688202996444
OG0008699,KAF1451377.1,KAF1422878.1,0.093999395158975
OG0007499,KAF1434541.1,KAF1456672.1,0.09188548397839236
OG0005678,KAF1467473.1,KAF1458649.1,0.08997485732989832
OG0004136,KAF1465917.1,KAF1457219.1,0.08908196877299616
OG0006610,KAF1442467.1,KAF1417537.1,0.08864039012533563
OG0007591,KAF1458271.1,KAF1402855.1,0.08814554180233307
OG0008103,KAF1452581.1,KAF1447267.1,0.0874931636782053
OG0009405,KAF1440750.1,KAF1428369.1,0.08535118310599853
OG0005995,KAF1447467.1,KAF1457449.1,0.08480696673415575
OG0005869,KAF1464800.1,KAF1450600.1,0.08440733188523672
OG0004895,KAF1459965.1,KAF1433205.1,0.08347909652085891
OG0009958,KAF1451522.1,KAF1435954.1,0.08302180478948828
OG0009633,KAF1437357.1,KAF1397063.1,0.08290516604541896
OG0009831,KAF1435220.1,KAF1416450.1,0.08264884455427178
OG0009094,KAF1432287.1,KAF1402129.1,0.08176812097905369
OG0009668,KAF1443988.1,KAF1406345.1,0.08121483711649695
OG0005997,KAF1452014.1,KAF1420480.1,0.08044743535686581
OG0004924,KAF1452126.1,KAF1460914.1,0.08022829457626073
OG0007820,KAF1457300.1,KAF1440902.1,0.07932690579384388
OG0006419,KAF1467108.1,KAF1434883.1,0.0792539694389675
OG0003779,KAF1461707.1,KAF1451349.1,0.07691478973325275
OG0004550,KAF1451208.1,KAF1444491.1,0.07617569472206377
OG0010344,KAF1463209.1,KAF1450226.1,0.07585969192236286
OG0005030,KAF1442968.1,KAF1453339.1,0.07539331654104575
OG0007333,KAF1456044.1,KAF1441455.1,0.07502359454627698
OG0006786,KAF1440586.1,KAF1424533.1,0.07488283857823112
OG0005211,KAF1449334.1,KAF1435305.1,0.07470472269850495
OG0007044,KAF1455453.1,KAF1432995.1,0.07469488905085389
OG0005728,KAF1448319.1,KAF1460344.1,0.07383907803922689
OG0009935,KAF1443871.1,KAF1395908.1,0.07383525528708312
OG0008799,KAF1433505.1,KAF1445610.1,0.07377335485018373
OG0008780,KAF1433711.1,KAF1452812.1,0.07361737795369283
OG0006356,KAF1463966.1,KAF1437692.1,0.07339275270880384
OG0010309,KAF1434366.1,KAF1455007.1,0.07242538952473558
OG0006086,KAF1457703.1,KAF1427700.1,0.0717533963855933
OG0008106,KAF1433041.1,KAF1414995.1,0.07161046882090372
OG0005893,KAF1443983.1,KAF1426287.1,0.07128313121902399
OG0009932,KAF1432620.1,KAF1436090.1,0.07120403652951555
OG0007148,KAF1463378.1,KAF1400774.1,0.07117524384352755
OG0008208,KAF1453086.1,KAF1425804.1,0.06969581731333253
